sample_no,side,hits,energy,peak_0,peak_1000,peak_2000,peak_3000,peak_4000,totalSampleTime[ms],avgSampleTime[ms],overallAvgEnergy,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,
25,L,1,120.92,25,24,23,22,18,45,0.11,120.92,204.75,2563.40,2068.90,2970.80,2354.20,1237.55,2380.75,1681.45,1324.55,2813.65,1459.75,2586.95,1440.25,2016.00,1529.15,1746.90,1771.35,1652.60,1897.60,2575.60,
29,L,1,39.55,29,27,21,20,19,44,0.11,39.55,204.75,1136.15,1834.80,2844.15,1723.05,3014.95,1718.45,2155.25,1953.10,2262.00,2692.60,2266.60,2920.55,2167.65,2350.55,1391.85,1532.30,701.85,418.65,833.60,
34,L,1,134.56,33,31,30,29,27,46,0.12,134.56,204.75,2457.90,1939.80,2031.00,1880.40,2331.75,2298.10,1927.60,2100.05,1633.75,3690.65,1450.45,3541.65,1367.75,2805.75,1017.05,1849.00,1291.60,2666.25,2371.70,
39,L,1,123.64,32,27,22,21,19,45,0.11,123.64,204.75,1590.00,2589.65,1987.00,2244.40,1492.65,2914.85,2332.85,2364.55,2205.00,2647.65,2414.80,1954.20,1721.35,2774.25,1545.30,3022.45,548.60,2366.55,2061.05,
60,L,1,58.33,24,16,12,10,10,44,0.11,58.33,204.75,3345.90,2345.85,2063.35,2382.65,1864.75,1188.85,2466.15,1691.70,1691.20,870.05,385.95,1068.40,466.00,2773.15,645.50,3676.65,3288.65,3588.15,1021.10,
84,L,1,106.66,23,19,15,14,13,45,0.11,106.66,204.75,1721.95,2214.30,1474.75,2040.90,1770.60,2676.75,1520.05,1996.85,1238.95,2944.10,1883.60,2933.25,2160.65,2529.60,731.35,2051.65,1201.45,2892.75,3368.60,
87,L,1,155.35,17,14,13,11,10,44,0.11,155.35,204.75,2264.85,2974.70,2499.70,2728.20,620.15,2086.15,1690.90,2517.05,2451.25,1078.00,2251.70,1377.05,3095.50,1793.50,2948.40,1306.95,2415.95,1251.75,3220.50,
105,L,1,101.55,23,19,16,13,12,40,0.10,101.55,204.75,3052.20,1283.95,2998.50,744.35,2682.05,2261.10,1931.40,2150.45,1337.20,3139.30,805.50,2339.80,2258.25,2748.80,1736.55,1470.80,2434.70,1856.60,1309.25,
163,L,1,111.23,16,15,15,14,14,40,0.10,111.23,204.75,2250.40,1383.70,2636.85,1269.95,2487.95,651.40,2592.70,694.50,2018.55,1785.80,2794.95,2443.05,3104.75,1581.20,1217.80,2525.00,859.10,2252.95,623.80,
166,L,1,177.16,16,14,13,12,12,44,0.11,177.16,204.75,2548.90,2132.85,3093.50,1165.65,3377.25,1218.75,3040.80,1557.95,2003.60,2030.65,1760.50,2547.00,1287.40,3165.95,963.95,2908.30,446.65,3753.60,710.45,
171,L,1,112.78,32,25,23,20,20,46,0.12,112.78,204.75,1430.10,2612.95,1845.85,1911.05,1750.65,3036.35,1070.40,3070.20,1686.40,3061.50,1686.05,2626.85,1275.90,3255.85,563.45,2810.65,1194.40,2068.15,2108.55,
179,L,1,93.27,28,23,21,20,19,44,0.11,93.27,204.75,1929.55,1943.75,2843.70,2878.70,1502.70,1985.00,1857.70,1862.90,2354.75,1761.45,2659.60,2554.40,2380.05,1207.60,1522.65,1804.35,1923.05,633.85,1496.45,
183,L,1,118.94,32,25,19,16,14,44,0.11,118.94,204.75,2788.55,1809.80,2407.25,1674.10,2310.65,1812.95,669.50,2043.40,1745.05,2273.45,3184.55,3499.75,3024.70,1315.80,1836.50,933.65,246.10,464.10,2322.85,
193,L,1,5.70,20,16,15,10,9,45,0.11,5.70,204.75,2459.05,1840.65,2308.35,2690.40,2595.30,2756.85,743.30,1114.90,704.60,416.80,1076.45,1215.30,1639.75,2031.60,3749.35,3102.80,3618.75,3299.70,2681.15,
199,L,1,36.86,16,14,11,11,11,44,0.11,36.86,204.75,1932.95,1529.25,3311.20,1627.15,2668.15,2104.30,1416.60,657.15,2220.90,1210.35,2494.10,1241.50,2726.65,1830.10,2258.75,3392.00,2950.60,1978.65,2002.10,
211,L,1,88.56,25,19,17,14,10,45,0.11,88.56,204.75,2324.40,1877.35,2797.20,2794.75,3025.75,2733.50,698.60,826.55,839.90,729.90,955.45,330.50,1560.70,996.05,3790.60,3664.75,3636.65,3787.25,110.80,
221,L,1,121.79,31,23,21,17,14,44,0.11,121.79,204.75,2161.25,1473.10,2087.20,1531.80,2525.65,3287.70,2558.40,1194.65,1119.70,1472.15,854.20,946.90,174.30,3719.25,3575.10,3314.40,3443.45,2296.40,1004.75,
228,L,1,74.04,30,20,19,18,17,44,0.11,74.04,204.75,1906.75,1699.25,1598.60,1956.95,2119.20,2757.65,1514.10,2464.60,1971.90,1779.75,1334.75,2519.00,795.60,2299.35,1647.00,2702.15,2498.40,2523.50,1550.90,
232,L,1,149.76,31,26,21,19,18,45,0.11,149.76,204.75,2494.50,2743.45,1815.95,2711.20,1653.25,2127.00,1809.65,2645.35,1384.55,3507.80,1025.10,3967.00,1022.65,2976.50,999.50,2120.90,512.45,1841.75,710.10,
247,L,1,60.58,12,9,9,9,9,44,0.11,60.58,204.75,4036.60,608.60,3032.10,2051.05,2326.60,256.95,3129.15,80.80,2235.50,1420.50,3094.80,1177.70,4078.70,2406.50,3323.80,1689.70,2465.10,587.40,1721.75,
