sample_no,side,hits,energy,peak_0,peak_1000,peak_2000,peak_3000,peak_4000,totalSampleTime[ms],avgSampleTime[ms],overallAvgEnergy,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,
118,L,1,114.16,52,49,48,45,44,45,0.11,114.16,204.75,2360.95,2186.85,2033.25,1716.30,1791.30,2539.90,2385.65,2692.50,1519.70,2412.50,2512.75,1842.45,2927.10,1653.85,2243.60,1608.85,2990.40,2937.95,2778.75,
122,L,1,132.32,49,43,40,37,34,44,0.11,132.32,204.75,1799.55,1993.75,1700.70,2238.10,2245.65,2799.15,2457.70,2178.55,2021.80,2479.30,2734.35,1216.05,2532.60,1737.25,2049.40,2133.25,2819.35,3633.50,3525.95,
126,L,1,93.01,55,54,53,52,49,45,0.11,93.01,204.75,1674.40,2703.20,2123.95,2383.30,1889.70,2607.35,1691.45,2304.70,1651.75,2487.30,1755.60,2194.00,1964.45,1940.80,2117.45,2385.70,2117.60,2675.30,2030.85,
131,L,1,141.00,54,49,45,43,40,45,0.11,141.00,204.75,2132.95,2173.55,2206.05,2004.40,1669.50,2061.55,1694.65,2243.90,2099.55,2238.35,1758.50,2902.55,2120.35,1852.00,2392.45,1613.75,1756.80,3106.30,2153.50,
136,L,1,118.07,43,40,39,38,35,45,0.11,118.07,204.75,1483.30,2641.05,1784.05,1714.15,2098.15,1515.95,1830.50,2721.60,2260.20,2415.65,2530.75,2127.00,2479.45,2072.45,1945.55,2126.35,1333.50,2646.50,2095.65,
141,L,1,55.81,18,16,14,14,13,45,0.11,55.81,204.75,1674.20,3199.05,1426.85,2305.75,2059.25,2781.55,1129.50,1588.85,2124.75,1948.95,2783.55,1829.40,3775.10,2009.00,3159.45,1667.25,2283.20,641.85,1369.55,
145,L,1,136.12,27,20,19,16,16,46,0.12,136.12,204.75,2312.55,3305.95,1317.85,1819.20,2330.70,2623.15,1747.80,1708.05,2050.30,1682.15,3256.65,2044.00,2851.75,1737.90,3430.80,2373.70,2405.20,826.10,2102.15,
149,L,1,97.67,37,30,27,23,21,46,0.12,97.67,204.75,1830.70,2893.40,1497.35,1948.15,1685.15,2479.85,1876.45,2583.85,1754.20,2510.15,1464.60,3213.10,1234.05,3433.65,864.35,2376.95,1036.80,2625.05,1816.80,
156,L,1,42.52,32,25,19,15,13,45,0.11,42.52,204.75,2525.35,2541.65,1966.00,2400.40,1957.35,3123.80,1454.80,652.75,955.95,1111.25,563.60,849.10,536.65,1951.40,2291.25,3887.80,3089.55,2027.80,2948.65,
160,L,1,57.28,36,25,20,17,15,45,0.11,57.28,204.75,2120.50,2517.05,1536.30,2316.15,1529.60,1871.05,845.55,287.55,2525.00,1172.25,747.70,2223.00,1213.75,1832.35,2944.10,2924.35,2977.20,1085.40,2701.10,
