sample_no,side,hits,energy,peak_0,peak_1000,peak_2000,peak_3000,peak_4000,totalSampleTime[ms],avgSampleTime[ms],overallAvgEnergy,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,
3,L,1,93.44,59,53,49,46,45,45,0.11,93.44,57.90,1266.95,2408.10,2403.40,2046.40,2305.60,1396.75,2271.90,2557.00,2563.50,1652.20,1924.40,1553.10,1978.85,1627.90,1722.85,1786.30,1427.55,2548.20,2409.85,
5,L,1,55.27,20,14,14,13,12,46,0.12,55.27,57.90,3119.80,1961.45,2388.10,451.65,1899.50,1879.20,1461.45,2201.70,1050.00,3172.20,2522.85,3140.10,1541.60,2186.55,2242.75,1728.70,2084.80,1808.95,2963.60,
9,L,1,91.81,62,60,58,57,55,45,0.11,91.81,57.90,1631.15,2566.80,2060.40,2407.65,2417.40,1821.05,2359.50,2457.00,2230.90,2443.55,1892.35,1951.05,1859.90,1964.05,1914.80,2545.25,2084.75,2908.35,2302.25,
18,L,1,68.69,39,35,33,32,32,45,0.11,68.69,57.90,1662.40,3473.00,900.35,3530.95,310.80,2876.20,1866.05,1792.50,2127.65,1885.60,2439.80,2170.40,1501.70,2025.40,2966.30,1431.10,2293.75,2435.70,1153.95,
19,L,1,71.79,15,12,12,11,11,44,0.11,71.79,57.90,2521.95,2716.50,2869.55,1803.20,3155.45,1913.80,3024.50,737.75,3373.75,902.60,2702.75,2736.90,2298.80,2652.60,1500.55,2720.20,1418.60,1388.45,1549.45,
24,L,1,93.72,50,45,41,40,38,45,0.11,93.72,57.90,2530.70,1955.80,2663.20,1601.95,2328.65,1523.60,2718.00,1258.05,2519.55,2423.15,2138.85,2348.10,2417.00,1424.15,2490.55,2414.90,1747.90,2006.75,2804.85,
26,L,1,53.87,24,20,19,16,15,45,0.11,53.87,57.90,2834.20,1938.05,1774.50,2984.35,1069.15,1956.10,1633.85,2709.35,2978.85,2476.35,3520.85,2751.05,1539.10,2393.75,1041.00,2889.40,2467.70,1861.80,2405.70,
31,L,1,157.25,58,56,52,50,46,45,0.11,157.25,57.90,2490.10,1940.75,1606.90,1960.80,1936.20,2603.75,1433.25,2629.25,2316.00,1429.45,2029.80,2055.25,2212.10,1832.55,2523.55,1912.85,1479.20,2320.80,1791.85,
33,L,1,107.00,25,14,12,11,11,45,0.11,107.00,57.90,1599.95,1539.75,2159.00,2306.50,1849.40,2811.90,1547.60,2437.85,365.65,2613.00,465.85,526.60,1944.25,2609.40,3113.95,2394.25,4049.45,1001.35,2493.65,
38,L,1,57.47,58,49,45,42,39,45,0.11,57.47,57.90,2146.35,1959.70,1919.85,2879.60,1443.05,1873.45,2550.45,1926.95,2352.80,1880.00,1885.55,2351.00,1862.05,2169.55,1708.75,1883.15,3073.20,2044.20,2105.65,
43,L,1,148.45,47,45,41,38,37,45,0.11,148.45,57.90,2413.05,2094.15,1734.10,2337.05,1625.60,2116.00,2248.75,2133.45,2688.60,2026.50,2126.65,2256.30,1981.40,2080.70,2078.80,1498.65,1836.45,3291.00,1050.80,
48,L,1,69.26,52,45,42,40,39,45,0.11,69.26,57.90,2480.60,2148.50,1618.30,2195.25,2159.95,1714.50,2138.35,2411.10,2376.55,2193.45,1705.30,2788.60,1367.15,2258.65,1905.10,2206.40,2208.00,1708.65,2623.40,
57,L,1,69.01,34,30,28,25,23,45,0.11,69.01,57.90,2011.10,2408.15,2112.45,2493.90,2005.55,2153.20,2340.55,2406.95,2401.05,2068.15,1986.40,1004.40,2986.05,1477.35,3167.45,1996.15,2725.60,1955.90,2712.50,
63,L,1,130.08,33,29,28,26,25,46,0.12,130.08,57.90,1858.20,2213.90,1681.25,1668.75,3084.35,1882.30,2348.80,1533.30,2692.60,1238.60,2827.30,1590.60,2767.95,1551.35,2358.55,2091.50,1995.05,2790.40,1267.05,
69,L,1,106.25,59,48,44,41,40,46,0.12,106.25,57.90,1411.30,2293.00,1950.25,2087.00,2239.10,1560.80,1631.90,2187.90,2468.35,2206.80,1746.90,1808.00,2125.20,1242.20,1816.50,2423.05,1506.40,955.10,2894.00,
74,L,1,105.39,41,38,38,36,33,45,0.11,105.39,57.90,1874.25,2644.40,2103.50,2084.70,1656.95,2141.70,1719.40,2174.00,2405.05,2001.05,2411.55,3099.10,2942.85,1884.00,1247.30,2426.00,1162.50,1757.65,4054.55,
79,L,1,68.75,49,40,36,35,35,46,0.12,68.75,57.90,2191.55,2642.70,2465.85,2234.80,2255.75,1696.60,2783.75,2652.65,1648.60,2710.55,2094.00,1751.20,1512.30,1790.80,2316.60,1446.60,2557.50,2192.35,3545.35,
86,L,1,152.85,32,26,25,21,18,45,0.11,152.85,57.90,2238.35,1248.80,2929.40,1642.00,2275.15,2069.95,1053.10,1876.20,2582.30,1025.55,3312.95,1445.50,2779.25,1249.05,3200.15,1499.15,2703.35,1495.85,2608.40,
90,L,1,159.61,28,21,19,18,16,45,0.11,159.61,57.90,1854.85,1728.85,1860.95,2775.25,1930.75,2080.20,2287.55,1961.40,2056.60,2622.10,924.65,3532.00,743.00,3467.85,520.25,3353.50,1582.80,3104.55,1663.95,
95,L,1,147.25,44,42,39,37,36,46,0.12,147.25,57.90,2052.65,2285.40,2512.70,2174.60,2137.35,1982.55,2013.75,1749.50,2702.85,2450.65,2399.95,1860.40,2440.90,1618.30,1783.05,1269.75,2650.75,2621.10,2053.45,
100,L,1,144.57,59,52,50,46,44,45,0.11,144.57,57.90,2499.50,2419.80,1531.65,2402.45,2454.30,1921.80,2060.05,1624.00,2496.80,2088.35,2423.95,2237.95,2319.30,2112.30,1644.50,1786.55,1438.85,2769.05,1433.85,
106,L,1,79.52,49,46,44,42,42,45,0.11,79.52,57.90,1784.80,2076.55,2156.90,2087.70,1977.45,2086.85,2123.60,1623.55,2050.05,1978.50,2623.35,1126.10,2519.75,1776.20,2068.35,2169.55,2301.80,1516.50,3425.10,
